Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668274256,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1668274257,1,,Aggregated,0.000000,0.000000,3,3,3,3,3,4,4,5,14,14,14,284,0,3.2579999988229247,3.4226919014414103,3.2579999988229247,14.256500000556116,37.0
1668274258,2,,Aggregated,0.000000,0.000000,7,7,7,7,7,7,7,7,14,14,14,576,0,7,5.096499652792216,3.2579999988229247,14.256500000556116,37.0
1668274259,3,,Aggregated,42.000000,0.000000,7,8,10,10,10,10,10,11,14,14,14,869,0,7,6.798124741099165,3.2579999988229247,14.256500000556116,37.0
1668274260,4,,Aggregated,166.000000,0.000000,10,10,12,13,14,14,14,14,14,14,14,1160,0,10,8.502735172434203,3.2579999988229247,14.256500000556116,37.0
1668274261,5,,Aggregated,208.333333,0.000000,10,14,14,17,17,17,17,17,18,18,18,1451,0,10,10.22099944867176,3.2579999988229247,17.809099999794853,37.0
1668274262,6,,Aggregated,229.250000,0.000000,13,14,17,17,20,21,21,21,21,21,21,1742,0,12,11.929446268668022,3.2579999988229247,21.268000000418397,37.0
1668274263,7,,Aggregated,241.600000,0.000000,14,17,20,20,24,24,24,25,30,30,30,2030,0,14,13.662146945822547,3.2579999988229247,30.10270000049786,37.0
1668274264,8,,Aggregated,249.666667,0.000000,14,20,21,24,27,28,28,28,30,30,30,2318,0,14,15.393530586716555,3.2579999988229247,30.10270000049786,37.0
1668274265,9,,Aggregated,255.428571,0.000000,17,21,24,27,31,31,31,31,32,32,32,2606,0,17,17.12713986954278,3.2579999988229247,31.647400001020287,37.0
1668274266,10,,Aggregated,259.625000,0.000000,18,24,28,29,32,35,35,35,36,36,36,2892,0,18,18.864276936389263,3.2579999988229247,35.859999999956926,37.0
1668274267,11,,Aggregated,262.666667,0.000000,20,27,31,31,35,36,39,41,46,48,48,3197,0,20,20.38018955271709,3.2579999988229247,47.815199999604374,37.0
1668274268,12,,Aggregated,265.200000,0.000000,24,28,31,34,36,39,41,43,48,49,49,3510,0,24,21.802099031354377,3.2579999988229247,48.828999999386724,37.0
1668274269,13,,Aggregated,289.400000,0.000000,24,31,34,35,39,41,44,46,53,63,63,3821,0,24,23.258548913912314,3.2579999988229247,62.881300000299234,37.0
1668274270,14,,Aggregated,291.200000,0.000000,26,31,35,36,41,44,47,49,55,63,63,4137,0,26,24.682802223849897,3.2579999988229247,62.881300000299234,37.0
1668274271,15,,Aggregated,293.300000,0.000000,28,34,36,38,44,47,51,53,61,65,65,4453,0,28,26.148453132728857,3.2579999988229247,64.97690000105649,37.0
1668274272,16,,Aggregated,294.900000,0.000000,28,35,38,40,46,50,53,55,62,65,65,4774,0,28,27.534653246757706,3.2579999988229247,64.97690000105649,37.0
1668274273,17,,Aggregated,297.600000,0.000000,31,36,40,43,49,52,56,58,65,68,68,5094,0,31,29.001382940718226,3.2579999988229247,68.30340000124124,37.0
1668274274,18,,Aggregated,300.100000,0.000000,31,38,42,45,51,55,60,63,67,72,72,5414,0,31,30.46428439232215,3.2579999988229247,72.03359999948589,37.0
1668274275,19,,Aggregated,302.700000,0.000000,32,40,45,48,53,58,62,64,70,73,73,5735,0,32,31.87840167393503,3.2579999988229247,73.40169999952195,37.0
1668274276,20,,Aggregated,305.400000,0.000000,34,41,47,50,56,61,65,68,74,81,81,6054,0,34,33.38268637265133,3.2579999988229247,80.67349999873841,37.0
1668274277,21,,Aggregated,308.400000,0.000000,35,44,49,52,59,63,68,71,78,81,81,6380,0,35,34.81830542320515,3.2579999988229247,80.67349999873841,37.0
1668274278,22,,Aggregated,311.800000,0.000000,35,46,51,55,62,66,71,74,81,85,85,6698,0,35,36.3072395491304,3.2579999988229247,84.70889999989595,37.0
1668274279,23,,Aggregated,315.600000,0.000000,37,48,53,57,64,69,75,79,110,120,120,7009,0,37,37.82231673563908,3.2579999988229247,118.63939999966533,37.0
1668274280,24,,Aggregated,316.900000,0.000000,39,49,56,59,67,72,78,81,110,120,120,7332,0,39,39.29588816149791,3.2579999988229247,118.63939999966533,37.0
1668274281,25,,Aggregated,317.200000,0.000000,40,51,58,61,69,76,81,86,110,120,120,7654,0,40,40.760462620867465,3.2579999988229247,118.63939999966533,37.0
1668274282,26,,Aggregated,317.500000,0.000000,41,53,60,63,72,78,85,88,110,120,120,7973,0,41,42.202126301281744,3.2579999988229247,118.63939999966533,37.0
1668274283,27,,Aggregated,316.900000,0.000000,43,55,62,65,75,82,88,92,110,120,120,8299,0,43,43.72048035909629,3.2579999988229247,118.63939999966533,37.0
1668274284,28,,Aggregated,317.400000,0.000000,45,57,63,68,78,86,92,95,110,130,130,8617,0,45,45.17360302891083,3.2579999988229247,134.04710000031628,37.0
1668274285,29,,Aggregated,317.400000,0.000000,46,59,66,70,81,88,93,97,110,130,130,8943,0,46,46.62538257856449,3.2579999988229247,134.04710000031628,37.0
1668274287,30,,Aggregated,316.800000,0.000000,48,61,68,73,84,90,96,100,110,130,130,9268,0,48,48.080922162290385,3.2579999988229247,134.04710000031628,37.0
1668274288,31,,Aggregated,317.300000,0.000000,49,62,70,76,87,93,100,100,120,130,130,9588,0,49,49.60672002504175,3.2579999988229247,134.04710000031628,37.0
1668274289,32,,Aggregated,317.600000,0.000000,50,64,73,78,89,96,100,110,120,170,170,9907,0,50,51.08711961240557,3.2579999988229247,172.40559999845573,37.0
1668274290,33,,Aggregated,316.600000,0.000000,52,66,75,80,91,98,110,110,120,140,170,10227,0,52,52.56326695023896,3.2579999988229247,172.40559999845573,37.0
1668274291,34,,Aggregated,316.900000,0.000000,53,68,78,83,94,100,110,110,130,170,200,10550,0,53,54.076000796217876,3.2579999988229247,202.96099999904982,37.0
1668274292,35,,Aggregated,317.500000,0.000000,55,70,80,86,97,100,110,120,140,200,210,10864,0,55,55.58689205634167,3.2579999988229247,211.16319999964617,37.0
1668274293,36,,Aggregated,317.200000,0.000000,56,72,82,88,99,110,120,130,140,200,210,11187,0,56,57.12191246983905,3.2579999988229247,211.16319999964617,37.0
1668274294,37,,Aggregated,316.800000,0.000000,58,74,85,90,100,110,120,130,140,200,210,11506,0,58,58.6437957413619,3.2579999988229247,211.16319999964617,37.0
1668274295,38,,Aggregated,316.200000,0.000000,59,76,87,92,100,110,130,130,140,200,210,11819,0,59,60.1616117607335,3.2579999988229247,211.16319999964617,37.0
1668274296,39,,Aggregated,316.400000,0.000000,60,78,89,95,110,120,130,130,150,200,210,12139,0,60,61.694192940119606,3.2579999988229247,211.16319999964617,37.0
1668274297,40,,Aggregated,315.200000,0.000000,61,80,91,97,110,120,130,140,150,210,220,12458,0,61,63.229884965492374,3.2579999988229247,218.8064999991184,37.0
1668274298,41,,Aggregated,315.500000,0.000000,63,83,93,99,110,120,130,140,160,210,220,12773,0,63,64.75567597276327,3.2579999988229247,218.8064999991184,37.0
1668274299,42,,Aggregated,314.300000,0.000000,64,85,96,100,120,130,140,140,160,210,220,13085,0,64,66.32093082920012,3.2579999988229247,218.8064999991184,37.0
1668274300,43,,Aggregated,314.400000,0.000000,65,87,97,100,120,130,140,150,170,210,220,13397,0,65,67.83344535344531,3.2579999988229247,218.8064999991184,37.0
1668274301,44,,Aggregated,312.800000,0.000000,67,88,100,110,120,130,150,150,180,220,270,13727,0,67,69.41670403584985,3.2579999988229247,268.50549999835494,37.0
1668274302,45,,Aggregated,312.600000,0.000000,68,91,100,110,130,140,150,160,190,220,270,14045,0,68,71.00182717694098,3.2579999988229247,268.50549999835494,37.0
1668274303,46,,Aggregated,313.500000,0.000000,70,92,100,110,130,140,150,160,190,220,270,14361,0,70,72.5136339948568,3.2579999988229247,268.50549999835494,37.0
1668274304,47,,Aggregated,312.600000,0.000000,72,94,110,110,130,140,160,160,190,220,270,14682,0,72,74.0308607614864,3.2579999988229247,268.50549999835494,37.0
1668274305,48,,Aggregated,313.500000,0.000000,73,96,110,120,130,150,160,170,200,270,330,15012,0,73,75.52108131495633,3.2579999988229247,325.5588000010903,37.0
1668274306,49,,Aggregated,314.100000,0.000000,75,98,110,120,140,150,160,170,200,270,330,15339,0,75,77.00835103332213,3.2579999988229247,325.5588000010903,37.0
1668274307,50,,Aggregated,313.500000,0.000000,77,100,110,120,140,150,160,170,210,280,330,15667,0,77,78.5313643901279,3.2579999988229247,325.5588000010903,37.0
1668274308,51,,Aggregated,314.700000,0.000000,78,100,120,120,140,150,170,170,210,300,330,15998,0,78,80.03140824479054,3.2579999988229247,325.5588000010903,37.0
1668274309,52,,Aggregated,315.000000,0.000000,80,100,120,130,140,160,170,170,220,300,330,16326,0,80,81.57489973662652,3.2579999988229247,325.5588000010903,37.0
1668274310,53,,Aggregated,315.600000,0.000000,81,110,120,130,150,160,170,180,250,320,330,16643,0,81,83.04630317251431,3.2579999988229247,325.5588000010903,37.0
1668274311,54,,Aggregated,317.700000,0.000000,83,110,120,130,150,160,170,180,260,320,330,16953,0,83,84.5657888928297,3.2579999988229247,325.5588000010903,37.0
1668274312,55,,Aggregated,317.600000,0.000000,85,110,120,130,150,170,180,190,260,320,330,17276,0,85,86.07455415606306,3.2579999988229247,325.5588000010903,37.0
1668274313,56,,Aggregated,316.400000,0.000000,86,110,130,140,160,170,180,190,260,320,330,17597,0,86,87.63807940558902,3.2579999988229247,325.5588000010903,37.0
1668274314,57,,Aggregated,317.200000,0.000000,88,110,130,140,160,170,190,200,270,320,330,17917,0,88,89.10789067925224,3.2579999988229247,325.5588000010903,37.0
1668274315,58,,Aggregated,317.300000,0.000000,89,120,130,140,160,170,190,200,290,360,440,18232,0,89,90.51335698223772,3.2579999988229247,442.2718999994686,37.0
1668274316,59,,Aggregated,317.600000,0.000000,91,120,130,140,160,180,190,210,290,360,440,18556,0,91,92.0259369260711,3.2579999988229247,442.2718999994686,37.0
