Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668361926,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1668361927,1,,Aggregated,0.000000,0.000000,66,68,240,240,380,380,380,380,380,380,380,8,0,55,119.43675000000002,46.2185,378.0902,78.0
1668361928,2,,Aggregated,0.000000,0.000000,56,61,68,70,71,95,380,380,380,380,380,42,0,56,70.17824285714285,43.35549999999988,378.0902,78.0
1668361929,4,,Aggregated,7.000000,0.000000,54,57,60,62,70,78,240,380,380,380,380,97,0,54,60.89878350515464,41.86909999999999,378.0902,78.0
1668361930,5,,Aggregated,19.000000,0.000000,54,57,61,65,72,79,95,240,380,380,380,165,0,54,60.0985090909091,41.86909999999999,378.0902,78.0
1668361931,6,,Aggregated,30.333333,0.000000,56,61,67,70,79,88,110,130,380,380,380,239,0,56,62.16669246861922,41.86909999999999,378.0902,78.0
1668361932,7,,Aggregated,38.750000,0.000000,59,67,71,78,88,100,310,310,380,380,380,298,0,58,69.59973859060402,41.86909999999999,378.0902,78.0
1668361933,8,,Aggregated,45.800000,0.000000,61,71,79,82,95,110,240,310,380,380,380,379,0,61,72.40920422163587,41.86909999999999,378.0902,78.0
1668361934,9,,Aggregated,48.166667,0.000000,67,80,87,92,110,130,190,310,380,380,380,463,0,67,77.2437205183585,41.86909999999999,378.0902,78.0
1668361935,10,,Aggregated,53.285714,0.000000,70,84,94,99,120,160,220,310,380,380,380,543,0,70,82.20853167587478,41.86909999999999,378.0902,78.0
1668361936,11,,Aggregated,56.250000,0.000000,76,91,100,110,140,170,210,310,380,380,380,619,0,76,87.6625256865913,41.86909999999999,378.0902,78.0
1668361937,12,,Aggregated,58.777778,0.000000,81,97,110,120,150,190,300,340,420,420,420,688,0,81,95.09236918604655,41.86909999999999,418.4570000000001,78.0
1668361938,13,,Aggregated,60.800000,0.000000,85,100,120,130,160,210,310,340,420,420,420,762,0,85,101.56756036745404,41.86909999999999,418.4570000000001,78.0
1668361939,14,,Aggregated,66.800000,0.000000,91,110,130,140,180,210,310,340,420,420,420,850,0,91,106.3094931764706,41.86909999999999,418.4570000000001,78.0
1668361940,15,,Aggregated,70.900000,0.000000,97,120,130,150,170,210,300,320,420,420,420,943,0,97,109.5600926829268,41.86909999999999,418.4570000000001,78.0
1668361941,16,,Aggregated,74.300000,0.000000,100,130,150,160,180,220,300,320,380,420,420,1031,0,100.0,115.02530591658581,41.86909999999999,418.4570000000001,78.0
1668361942,17,,Aggregated,77.800000,0.000000,110,130,150,170,200,260,330,370,510,510,510,1097,0,110.0,122.85827830446668,41.86909999999999,511.8402,78.0
1668361943,18,,Aggregated,79.100000,0.000000,110,150,160,170,210,270,320,370,510,510,510,1186,0,110.0,128.16635362563233,41.86909999999999,511.8402,78.0
1668361944,19,,Aggregated,78.900000,0.000000,120,150,170,180,220,270,320,360,510,510,510,1277,0,120.0,132.92864017227873,41.86909999999999,511.8402,78.0
